mood,location,latitude,longitude
Positive,United Kingdom,51.5073219,-0.1276474
Positive,Netherlands,52.24253135,5.216244030438073
Positive,Haiti,19.37218875,-72.33465445105234
Positive,Italy,43.8672392,10.2506055
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Negative,Russia,59.9818762,30.21469534732587
Positive,Germany,52.5170365,13.3888599
Negative,Japan,35.6432274,139.7400553
Negative,,,
Positive,,,
Negative,,,
Positive,Israel,31.5313113,34.8667654
Positive,,,
Positive,France,45.7578137,4.8320114
Positive,United States,40.7127281,-74.0060152
Negative,Saudi Arabia,24.8077213,46.7820555
Negative,,,
Negative,Israel,31.5313113,34.8667654
Negative,,,
Negative,Falkland Islands,-51.6496462,-57.7712122
Negative,Indonesia,-6.17518155,106.83303734679775
Positive,Israel,31.5313113,34.8667654
Negative,,,
Positive,,,
Positive,,,
Positive,United States,40.7127281,-74.0060152
Positive,,,
Positive,Israel,31.5313113,34.8667654
Positive,Germany,52.5170365,13.3888599
Positive,,,
Positive,Japan,35.6828387,139.7594549
Positive,Norway,63.5280991,9.9310696
Negative,Indonesia,-7.54133775,112.50949745736571
Positive,,,
Positive,,,
Positive,Spain,40.4167047,-3.7035825
Positive,,,
Negative,China,31.19767765,121.33448312534463
Positive,India,22.3511148,78.6677428
Negative,Indonesia,-6.1753942,106.827183
Negative,Saudi Arabia,24.8077213,46.7820555
Positive,,,
Negative,,,
Positive,India,22.3511148,78.6677428
Positive,United Kingdom,51.5073219,-0.1276474
Positive,Bulgaria,42.6977028,23.3217359
Negative,,,
Positive,,,
Positive,Japan,36.1192436,139.4976783
Negative,,,
Positive,,,
Negative,,,
Negative,,,
Positive,Japan,35.718123,139.664468
Positive,,,
Positive,Netherlands,51.585618749999995,5.066061908648313
Negative,Slovenia,45.8680612,13.585026
Positive,India,28.6138954,77.2090057
Positive,Indonesia,-8.2094973,114.3737201
Negative,India,19.0785451,72.878176
Positive,France,45.8992348,6.1288847
Negative,,,
Negative,Türkiye,41.0091982,28.9662187
Positive,Canada,49.2846962,-123.097014
Negative,Australia,-37.8142176,144.9631608
Positive,Greece,35.5618774,24.0919486
Negative,Philippines,14.5123016,121.02188606807516
Negative,Japan,35.7354186,139.8815669
Positive,,,
Negative,,,
Positive,,,
Negative,South Korea,37.5666791,126.9782914
Negative,,,
Positive,,,
Negative,Japan,36.5748441,139.2394179
Negative,Portugal,40.0332629,-7.8896263
Positive,,,
Positive,Indonesia,-8.2094973,114.3737201
Negative,,,
Positive,,,
Negative,,,
Positive,,,
Negative,,,
Positive,,,
Negative,Singapore,1.357107,103.8194992
Positive,,,
Positive,,,
Positive,,,
Negative,Saudi Arabia,26.475,50.0416329
Negative,,,
Positive,Indonesia,-7.3251774,109.9056063
Negative,,,
Negative,Japan,35.6828387,139.7594549
Positive,,,
Positive,United States,35.1490215,-90.0516285
Negative,Japan,38.2691248,140.8705271
Positive,Ireland,52.865196,-7.9794599
Positive,United Kingdom,51.5073219,-0.1276474
