mood,location,latitude,longitude
Positive,,,
Positive,,,
Positive,United States,37.7884969,-122.3558473
Positive,Malaysia,5.9428137,116.07885482105473
Positive,United States,39.7837304,-100.445882
Positive,United Kingdom,53.4794892,-2.2451148
Negative,United States,37.7790262,-122.419906
Positive,,,
Positive,Argentina,-34.9964963,-64.9672817
Positive,Nigeria,5.7927494,6.121651775160583
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Positive,Japan,35.6828387,139.7594549
Negative,,,
Positive,Japan,35.564193,139.442839
Negative,United States,40.0826096,-88.2027183
Positive,United Kingdom,51.5073219,-0.1276474
Positive,United States,33.8455911,-118.3886766
Positive,Nepal,28.1083929,84.0917139
Positive,,,
Positive,,,
Negative,,,
Positive,,,
Positive,,,
Positive,,,
Positive,United Kingdom,52.3057655,-1.9417444
Positive,,,
Positive,United States,30.2711286,-97.7436995
Positive,United States,33.7500378,-117.8704931
Positive,Canada,43.4652699,-80.5222961
Positive,,,
Negative,Japan,35.6828387,139.7594549
Positive,United States,40.6526006,-73.9497211
Positive,Belgium,50.6402809,4.6667145
Negative,,,
Positive,,,
Negative,Greece,40.6403167,22.9352716
Negative,United States,35.996653,-78.9018053
Positive,,,
Negative,India,22.3511148,78.6677428
Positive,,,
Positive,United States,33.8455911,-118.3886766
Positive,United States,43.6166163,-116.200886
Positive,United States,36.7014631,-118.755997
Positive,United Kingdom,51.7520131,-1.2578499
Positive,,,
Positive,,,
Negative,,,
Negative,,,
Positive,Mexico,32.5264569,-116.99990017504683
Negative,United States,30.2711286,-97.7436995
Negative,United States,37.7790262,-122.419906
Positive,Australia,-24.7761086,134.755
Positive,,,
Negative,,,
Negative,Egypt,30.1118628,31.2022296
Positive,Belgium,50.879202,4.7011675
Negative,United States,40.7127281,-74.0060152
Negative,United States,35.996653,-78.9018053
Negative,,,
Positive,,,
Positive,,,
Positive,Brazil,-22.90556,-47.06083
Positive,United Kingdom,53.4794892,-2.2451148
Positive,,,
Positive,,,
Negative,Ukraine,46.9322784,32.5707662
Positive,Argentina,-37.9977225,-57.5482703
Negative,,,
Positive,India,22.3511148,78.6677428
Positive,United States,40.6526006,-73.9497211
Positive,Australia,-37.8142176,144.9631608
Negative,Argentina,-34.6075682,-58.4370894
Positive,India,28.42826235,77.00270014657752
Positive,United Kingdom,55.84894,-4.22558
Positive,Canada,45.5031824,-73.5698065
Positive,United States,40.7292688,-73.9873613
Negative,,,
Negative,United Kingdom,53.4055558,-1.416735225902158
Negative,,,
Positive,Australia,-24.7761086,134.755
Positive,Nepal,28.1083929,84.0917139
Positive,Russia,56.1383313,47.2710209
Positive,Japan,35.6828387,139.7594549
Positive,,,
Positive,,,
Negative,Netherlands,52.8903252,6.1401858
Positive,United States,40.7292688,-73.9873613
Negative,,,
Positive,,,
Positive,Brazil,-10.3333333,-53.2
Positive,,,
Negative,,,
Negative,United States,33.8455911,-118.3886766
Positive,Japan,36.5748441,139.2394179
Positive,United Kingdom,53.45733965,-2.226958805052226
Positive,Canada,48.01731745,-83.96937526717608
Positive,United States,40.4416941,-79.9900861
Positive,,,
